Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure
298.9993449162825,309.74480837984305,1288,62.253226369004516,215,1
301.7030312109233,311.0184348730386,2751,8.287627548808048,12,1
299.92115393986444,310.31993035958106,1548,35.015384240542126,206,1
302.25460065924784,310.3290798681504,1372,51.345399340752124,160,1
297.96007634464144,308.4555979692452,1412,61.09104324920761,114,1
303.245336883012,311.82447434671855,1372,54.66258760888024,114,1
302.100598443188,310.9577952872515,1401,53.77001573737008,210,1
301.1751473312651,310.6403350732698,1356,60.3,206,1
302.11796672201353,310.4193252905711,1282,61.04544342393028,144,1
298.4399948580983,308.87278385068095,1396,52.75606532089008,211,1
302.61031805168807,311.48650143143124,1230,68.15872779324772,188,1
300.49468192528985,312.0183524066123,1461,56.97803938076439,83,1
297.5414389324475,308.2386989611932,1615,35.07123209198646,217,1
299.3548556738365,308.96096147821254,1329,53.60670672825886,206,1
298.9552992998942,309.4544700700106,1387,51.991241248677156,199,1
300.73230057449433,310.42105560823705,2641,12.00981064197982,98,1
299.3856701991528,310.0157010597458,1374,56.00853615932225,201,1
299.0114544938477,309.1943567412202,1541,36.39758146052293,206,1
302.1814109773412,310.08141097734125,1365,50.39171352718081,10,1
301.52143934077225,311.03667169236036,1336,62.75529265991257,203,1
302.1472982670741,310.3,1333,54.46912305227553,59,1
301.82227217314096,311.0889201082131,1269,65.48217102253051,182,1
302.26515636437983,310.46968727124033,1348,47.32491998773246,163,1
300.84094841582584,309.52036643338727,2676,10.760021554905132,84,1
298.37750218911,309.09469929493054,1324,46.44840868253843,205,1
301.96302358968245,309.8844699076666,1308,57.626623015428635,197,1
301.8521582746724,311.4641187060043,1367,57.11807553692164,207,1
299.21485392585737,309.20990261723824,1399,62.07917985264034,193,1
301.9394734597324,310.8767402232085,1713,30.004583794545216,218,1
301.85872822149,310.30100886822095,1311,56.64964840750163,40,1
298.25880549725724,308.4232126962857,1309,60.94738455508564,189,1
297.4342748549747,308.01713742748734,1313,61.12762085750422,196,1
300.7414399491052,311.0528533502983,1379,61.100914758308846,137,1
299.4372718479134,310.55753167192165,2201,17.27649237588865,223,1
300.5766006521955,310.49869255853673,2632,12.179869255853673,100,1
303.2962917233661,311.2962917233661,1350,48.04808412712494,31,1
299.0,310.4,1365,49.201329560374134,226,1
303.8075329704986,312.77168864699905,1360,58.843126439472925,196,1
301.7512969660081,310.2512969660081,1337,49.93991510909288,67,1
302.34991621821183,310.3876047272352,1302,57.15175941755215,91,1
303.2862983576988,311.7241989051326,1315,51.84119692793742,69,1
301.53962491164935,310.93545386831784,2758,8.037539389983612,16,1
301.03614199179196,310.55046294841884,1383,64.11743824736477,138,1
302.692318852836,311.3516355967588,1360,48.50753606029541,116,1
301.0460692939464,310.16270199299225,1363,48.771269474206264,213,1
299.91436112075473,309.377897517892,1312,71.02430174508787,56,1
301.09587886725376,309.8173952626612,1440,39.807832420257895,214,1
301.69642493210216,311.2874990201814,1232,65.04285378347892,169,1
302.2,310.6,1343,49.992255078834056,160,1
301.44229669903757,309.4728733367408,1298,65.4457466734816,226,1
302.55131696556236,311.26592187589364,1309,59.66400557212276,80,1
298.41079731777387,309.37433556852176,1329,69.85477583093926,26,1
301.51580483013413,310.1936975194496,1362,54.713541907423775,42,1
303.0456792958803,311.1043900158138,1368,49.36282348897098,60,1
296.3074363748468,307.00394647897093,1370,53.634898958758804,216,1
302.5681274589705,310.96812745897046,1329,51.24542090545047,106,1
297.4496468443209,308.11715828028963,1258,69.11533028374168,109,1
302.84213567712305,312.20519472647317,1259,68.82510683435906,233,1
297.3185746317257,308.85518377655427,1329,70.40081017793428,28,1
301.53889575661816,311.0021330541287,1317,59.01530854207621,12,1
298.9457794258737,308.8551610174448,1362,66.32551153342179,175,1
301.3504043276161,310.8871967542879,1207,64.12594320003815,48,1
300.4078370406477,309.607183953927,1379,51.10457160704447,217,1
301.2313518027611,310.5132592477085,1304,66.62403714676931,72,1
302.22330430000835,311.05999083158156,1497,46.71779713332777,231,1
302.0578826028298,311.1421173971702,1269,65.5067235815351,183,1
297.18293937672416,307.48507195463367,1367,53.8191932011853,216,1
297.4518545390763,308.1903709078153,1362,54.44297451802803,214,1
300.06444728730077,310.74611342093186,1293,61.46333226726222,205,1
301.6362337855297,310.1362337855297,1362,54.76733711240262,71,1
302.50474814002047,310.9047481400205,1333,48.33805738505629,110,1
302.9822899829607,311.1732353662654,1335,53.3605878024077,172,1
301.1214944808262,309.86754677591307,1366,61.63551655752151,42,1
300.17630667850125,309.55532737496117,1312,64.62706773206712,193,1
302.073386676713,310.64012002260426,1293,62.78589318766128,101,1
302.03946338831895,311.23881435948874,1235,58.01713557883868,220,1
295.7017651902682,306.201941709295,2269,14.60151806363063,149,1
300.436253542327,309.88548285829546,1404,60.81759987783095,190,1
303.4161608495301,311.9161608495301,1375,43.68474958938558,33,1
302.4,310.48115455275865,1372,46.340745206205355,145,1
300.4786505885014,309.43665661781336,1307,60.79687805073043,40,1
302.80256099897423,310.7142412209685,1358,48.55471533812025,32,1
303.53167278114756,312.08612130191256,1369,53.802849113387985,111,1
302.1746301521251,310.69078486695594,1375,54.851535855507336,123,1
303.31314118921705,312.54046107595826,2672,10.935561925398986,24,1
299.2803796465108,308.58037964651083,1382,52.97214868834625,218,1
303.5961655067616,312.38849652028483,1361,54.75792163297849,196,1
301.511672397443,309.99306033120246,1350,59.790534542708976,110,1
298.3702186885834,308.516713378683,1362,55.98732482993888,215,1
302.1277627697751,310.69739440047175,1340,54.378975935304474,204,1
302.7576472018698,311.45486640118986,1314,64.85967839014097,43,1
301.58503832031903,310.814101360087,1569,38.68503832031906,217,1
297.22334890469597,308.0838502533944,1260,68.91129679581424,105,1
303.32820966883804,311.514104834419,1371,47.18716132464789,60,1
300.9179565355376,311.0882795050768,1235,64.4468819796928,178,1
300.2861549795569,309.88615497955686,1394,46.589239836455285,210,1
301.9598477616599,310.80179050211996,1361,59.526589413080806,96,1
298.9844186723965,309.056279114931,1407,64.72918526744014,191,1
301.7852976734734,311.7692390943213,1417,52.42878063982886,241,1
303.893899757083,313.1951404844559,1422,47.98935042338218,215,1
302.66036066476494,310.4198196676175,1305,55.041442659059676,19,1
302.3,310.86046537732545,1378,48.509307546509326,29,1
301.3997467424065,309.5808374155059,1300,64.26434236298047,229,1
299.10741087580686,309.97087368308667,1293,61.563462807279784,200,1
300.3670908865598,310.2432023358657,1356,59.03290911344018,191,1
301.8503223787723,310.89576430565995,1494,40.83158413301438,216,1
301.6971236846496,310.89794548903546,1404,46.40061635328936,207,1
298.876021382839,308.8367486589373,1314,63.22412833411575,196,1
299.5262156144238,309.94969130213536,2429,13.681708252538286,165,1
303.1390747698694,311.5535706159878,1317,50.50861215480413,70,1
298.5619990039637,308.65601195243585,1360,65.42592728934855,177,1
301.67905833395787,309.90158486876624,1374,56.93712872578555,166,1
299.1323301051906,310.1912957409102,1316,54.93305081751501,230,1
303.2870264831076,311.48980652244165,1373,47.3064867584462,60,1
300.4402271370081,311.02003244814404,1233,64.71987020742395,189,1
303.3987270012486,311.64554450437004,1357,51.25926403995449,31,1
298.7894706874249,309.7473648249099,1361,60.46579396886262,187,1
300.70800150766405,310.7441916248869,2529,12.90184131770362,64,1
303.03769440914584,311.33230949355357,1330,51.280773733884004,69,1
302.8892957102027,311.5025069971419,1309,57.48404266919268,82,1
300.76828863867985,309.85076439591245,1380,53.328094696540774,214,1
302.43558660681947,311.91863828096706,1419,54.31528275809096,212,1
301.6861674295454,310.92283292255246,1316,57.38399154965117,11,1
301.3108245701621,310.29294197704775,1304,65.26599931950939,62,1
297.7256249941414,308.3628124970707,1429,41.815625087878495,216,1
297.4588619760934,308.36354479043735,1291,62.68082404196313,201,1
299.94328770786524,310.17524894272407,1399,57.76803876514115,193,1
302.2553776462666,311.0956170130872,1400,53.72199256158568,206,1
301.1373585061691,309.9,1310,63.13528291874816,193,1
299.04226009681895,309.9422600968189,1370,55.9535605809135,201,1
301.97585756406295,310.9818497570725,1497,46.88276162395806,231,1
298.67342212295955,309.6509706557469,1434,49.002063204913895,224,1
303.574516390727,311.974516390727,1309,52.64516390726995,83,1
298.1294755199229,308.2098251733076,1421,63.74279722707794,19,1
298.5389644367317,308.93242675921954,1360,63.744403881414456,181,1
302.5250753124837,311.91015553484294,2701,9.951429272839357,68,1
301.7826333211693,310.3504451800493,1373,48.352100036491905,72,1
297.5702288662367,308.50388603589454,1338,59.549827177790306,206,1
302.9938409960699,311.5299952106363,1363,52.61998084254521,33,1
297.57441623099714,309.43370550148137,1497,48.61035474136668,222,1
301.43027783043703,312.2717129717395,2709,9.717928242934876,129,1
302.7678352965944,310.87436471042304,1341,50.31100003508706,165,1
303.51087614903406,312.8722054507541,2508,12.929909369462804,6,1
302.11744019917575,310.53046411950544,1366,53.04812923488973,153,1
299.0912396535416,309.8460537175195,2286,15.846921499016995,216,1
302.5445337118122,311.24553110950797,1401,53.50694298559273,209,1
299.4248946184877,309.2968976518047,1320,67.442665655561,19,1
302.35539035007986,311.17843859968053,1335,67.19851315071882,198,1
300.39062944071003,309.5059052448389,1239,63.825671747482026,102,1
303.073115794335,311.473115794335,1359,53.73289296746705,95,1
302.6727322455333,310.33091804196,1323,61.70904366743338,91,1
298.2539040236019,308.309352858875,1419,63.24388284675002,19,1
301.87355670441605,311.39067869321775,1534,36.53829897697078,207,1
299.34507070135766,308.9089203117145,1318,66.66267510369468,20,1
302.31463023097024,311.1384134773321,1239,58.604286000839,219,1
298.2253888627029,308.3269443135144,2582,12.58056949026996,117,1
299.101360325656,309.926458981648,1334,68.3120664771519,36,1
299.54204495230755,309.8225377233333,1289,63.79716049000039,15,1
296.269297219258,307.0821620320967,1246,72.44562224593598,97,1
300.55126640921884,310.01855722005627,1324,44.88317729729063,207,1
300.432566853589,309.9,1395,46.169732585644084,210,1
301.16484103962944,309.72430314633726,1339,59.602885362840965,112,1
302.0229862175239,311.070992703395,1404,47.65394649156356,207,1
301.9770449043646,310.48157695756254,1375,54.886403840406246,125,1
301.1248722021841,311.61621405818113,1526,38.31188498617965,211,1
302.2378777040666,310.33242445918665,1372,51.36212229593341,159,1
303.2219478763805,311.6595061774849,1314,60.47017837705772,41,1
299.2908674379817,308.96128079675844,1345,57.773925882629925,202,1
299.1630122746502,309.2615287607116,1402,52.05536847109225,204,1
301.76331678210363,309.9577888119309,1276,59.20661481083168,147,1
298.4299095556165,309.54486433342475,2170,15.434593000274315,115,1
299.0691872802468,308.62979447692106,1300,66.0212143933485,43,1
300.60798135339644,310.7450917566638,1378,52.74692688993974,215,1
298.82943306836603,308.3977185871327,2565,12.8,111,1
299.68091864149363,309.9884604584504,1427,49.07051318051654,211,1
300.5002842097365,310.4835385959208,1339,59.283159649605494,203,1
298.2885592004368,309.3637945783117,2157,15.271107940853994,100,1
300.37612709540866,310.0114068880929,2564,12.776127095408667,79,1
302.4221100598214,310.2764933599206,1306,56.149457295610205,20,1
302.5648277694845,310.3884485965979,1377,49.68293190505153,107,1
302.37349867012136,310.3081984041457,1368,50.17731090500459,11,1
302.8427664221367,311.105659853282,1359,50.084290530240104,104,1
302.6655749468846,311.43442505311543,1367,54.15667497723626,117,1
303.38346190884425,311.7206026999096,1422,45.06706364575875,99,1
300.144893075592,310.03630453427286,1333,65.45608210890609,40,1
298.59908971001164,308.84559366769946,1393,58.210943271930674,197,1
301.058230291731,309.62953803709416,1340,60.420234430062735,112,1
302.9800216239046,311.75501261394436,1524,36.38997477211127,212,1
301.4040368837925,310.45996646927955,2410,13.720016765360226,192,1
301.7989809037621,310.43163483960353,1329,61.73070145582242,82,1
301.9822457633516,310.17632768446884,1284,68.13727871925519,111,1
300.33448599722664,311.43560735459596,1374,47.86551400277339,224,1
302.41517882973295,310.5972026736973,1335,59.27749927674771,184,1
302.17801584179585,310.15201056119724,1378,49.78632211651537,165,1
299.72582174215535,309.0646796791141,1269,68.49348190259833,78,1
300.4130069124199,311.2834124423558,1337,58.840056067622804,189,1
301.69166615751914,312.1361109898855,1404,51.89999912717564,233,1
301.4265941259233,310.595956475554,1351,59.2225506014773,207,1
300.49474791939696,309.83140395274995,1331,63.01629230295634,167,1
302.179898688403,310.13409756417695,1284,58.173793629385884,141,1
298.36535780590407,308.7659713343865,1396,50.436114662453924,211,1
302.3401154934197,310.74011549341975,1350,51.23641315785991,105,1
297.53907233075046,308.0695361653752,1313,61.11015461154159,195,1
297.31056252868177,308.0526538638042,1400,56.841029789600704,202,1
297.1445194294163,308.54451942941625,1323,47.07116576497491,206,1
303.25700709160884,311.53551063741327,1336,55.8971489237855,183,1
300.49606455425743,310.6234734171368,1300,65.40570000577469,116,1
300.38886379406733,311.39242715644616,2703,9.91826293069023,130,1
302.561082361719,310.48823007803855,1349,54.353437801211875,187,1
299.4012545912421,310.6012545912421,2595,12.325313647810521,80,1
300.7274679349181,310.3080013588408,1494,37.13813641337243,206,1
300.1480827703757,309.40197656259755,1520,34.06823036334179,208,1
301.49069058117607,311.7391776476019,1336,57.91342118081471,188,1
303.1295874967372,311.68402083877135,1491,46.085206251631405,238,1
298.21176419047544,308.47142731972605,1423,60.914299483013224,22,1
300.8126818775646,310.3961208700909,1414,52.07579244394712,14,1
302.8435552819192,311.34899969215905,1364,56.207445025921714,110,1
302.7909888708941,311.1289908943679,1365,55.34495447183963,147,1
299.5525258060645,309.1466620768686,1364,50.96880936318805,216,1
302.39374659206146,310.87624795523686,1288,65.68996183108791,108,1
301.822698733147,310.2780810120026,1311,56.819969625123406,40,1
298.7170212356001,309.53353189193604,1337,56.600425482720084,205,1
300.9663862145253,310.4890758569831,1265,65.6263332718794,148,1
302.9650305354008,311.0770549637215,1342,54.91042749561144,3,1
299.48042023955077,310.023903788805,1360,61.18521316059659,189,1
295.9021032538651,306.364340347132,1371,55.260133839401774,215,1
301.5788355113871,310.99573890552466,2524,12.92206440390832,51,1
298.0,308.2411015221232,1363,54.502959362805505,217,1
303.00019864358404,311.20019864358403,1340,51.003178297344775,173,1
299.51324030109174,309.7171229216625,1296,63.92565155653456,13,1
302.15340192204,311.09367861132876,1322,54.35316069433561,228,1
301.35943139080854,310.75257219749324,1571,38.45943139080854,220,1
301.67671684779526,310.4924687081738,1704,30.04041356603572,208,1
301.8388914429774,309.8166743289321,1443,45.34321271441931,233,1
302.3,311.27738439551484,1364,50.74816957209232,125,1
301.6743860904358,310.5826739435084,2674,11.670054576312902,124,1
303.2,311.4,1350,52.895705928627194,8,1
299.3841700275527,310.22885740230504,1300,68.54308592184404,111,1
301.1170558772483,311.07744161841276,1374,58.33673063111458,133,1
301.9101407400435,310.22626759250545,1329,60.490775002353125,49,1
302.38064916739717,310.2387016652056,1350,45.41928873794653,167,1
302.0984099976644,310.5984099976644,1326,59.06533794908342,87,1
298.2654988955809,308.5274944779045,2587,12.510376932733422,115,1
302.3326569378404,310.2891143540532,2668,11.049520191348961,86,1
300.30121319668257,309.150677962852,1361,56.79186444577598,173,1
296.103624537569,306.43574969171266,1372,54.87254233462262,215,1
300.3763818834924,311.0585928970803,1399,47.513969632987134,221,1
298.2008206461503,308.8224516135063,1477,58.53428645178176,174,1
298.94569074500674,309.0777959836312,1330,59.97282898723533,187,1
299.7843077309538,310.83961805845723,1326,68.74105033924255,22,1
302.4600595799479,311.0467212816189,1377,49.99359151310755,33,1
299.0327140057596,309.2083960415394,1541,36.40359830351687,206,1
297.98326593307235,309.0458164832681,1401,63.6751930098383,0,1
297.9035832916664,308.54143331666654,1457,52.23628384167016,207,1
302.9787209709027,311.3787209709027,1366,57.176807307816325,91,1
300.0353306385794,309.59666474184246,1516,46.31445278534943,225,1
298.0046428916148,308.30619052215314,1404,56.18968246307815,218,1
298.29764641364767,308.345011493732,1313,60.2656945821737,199,1
301.44895543070095,311.16171657302567,1366,57.944641367063134,207,1
302.5587737705289,310.95877377052886,1363,58.14481967379844,96,1
296.4464985202637,307.2837134401507,1319,68.25814327992465,23,1
301.2607750059193,311.5361058795674,1336,61.43478238497515,190,1
301.864217878175,310.84568715127,1378,53.67028491166489,210,1
300.33430544186507,311.43699161236793,1374,47.86569455813495,224,1
298.0,308.24661852090964,1363,54.718122315475505,217,1
302.33435186776126,310.6938887934326,1377,49.37639008209245,165,1
303.06029835446185,311.26029835446184,1337,51.96477367138966,172,1
301.68259666421346,310.5163425322539,1324,45.04156353298988,207,1
298.50329715535173,309.5947448577583,2776,7.474677899335241,180,1
303.05490629546114,311.23987506061485,1304,51.817640556808264,44,1
302.85767691564524,311.00381844816144,1312,53.33046754664691,40,1
300.4970527782268,311.51550252566074,2064,19.71178888709277,227,1
300.0354288055122,309.9891049101578,1488,44.45554124196566,196,1
298.19576260424117,308.17881302120577,2578,12.632415442577974,119,1
298.5652363242582,308.96094529703277,1435,55.23614713796223,28,1
299.7067364589334,310.801332986654,2179,17.622946875771465,225,1
302.33424014383024,310.9175087049852,1360,50.170034819940845,39,1
299.54073237485005,309.4440375695278,1295,64.17815955502232,213,1
297.98576274542273,308.85620339877937,2868,4.356203398779397,127,1
300.65368192018894,310.4981417412321,1493,39.02229910521548,207,1
302.2715640236107,310.6626185206594,1346,48.865166153469744,161,1
302.02062807673224,310.4877295103507,1373,48.02193237758768,72,1
300.034702476826,310.734702476826,1269,67.85362611761225,204,1
298.7190887924662,309.810086464179,1364,51.2630162980103,223,1
303.1740806790485,311.1740806790485,1363,46.74147091352246,28,1
296.8674518880952,308.12210931815474,1325,69.47036951919641,26,1
297.7110966702894,308.31839510609126,1621,34.590653430367794,207,1
303.0027474183191,310.93699655775873,1359,52.411780693317716,64,1
302.37796891408516,310.77796891408514,1356,56.11015542957428,102,1
300.34714277123516,310.18038323545045,1412,53.9493034816146,12,1
300.91231494169784,309.9,1312,63.26585161147283,191,1
300.9945258037708,309.42070161215855,1395,62.141403224317095,135,1
302.9005915310782,311.21301758969344,1334,53.550295765539104,163,1
302.56213793658253,310.6349655560777,1330,51.46993111215543,151,1
298.2984681671385,309.4223948108817,1370,49.763495154733114,220,1
300.38989033936747,309.81741775452554,1397,45.34945169683721,211,1
300.5232542519315,309.2797667858112,1310,58.66325693860932,197,1
298.45496228210993,308.9066163761466,1403,55.188972706422334,218,1
300.85020190682485,309.9379279919664,1364,49.354626896388616,214,1
300.34882431378674,311.64182060624995,1552,33.304702744852996,208,1
302.3959007977668,311.01639680893277,1337,67.56310717990131,194,1
302.3305826047198,310.7958739070797,1347,47.175969626843376,143,1
300.530380783115,310.2651903915575,1656,30.5,222,1
301.5620238409134,310.56898807954326,1377,57.07572152411981,128,1
299.7853315353471,309.2884747777727,1298,65.05389911109084,212,1
300.1135552248896,311.472634542731,1552,33.32097168365659,208,1
300.8938838839234,310.76039739733017,1229,70.32767467417229,11,1
304.05312194564897,313.11030730760325,1513,35.312190248915925,208,1
302.97550758029786,311.2940460885071,1360,45.4073074589539,64,1
300.26277506562883,309.92773702731427,1438,47.29269898899966,230,1
299.0583634456842,308.6399684876588,1312,69.16472058890018,61,1
303.22212192869387,311.4831828930408,1338,56.634509098474474,187,1
299.92600115863496,309.8544012358773,1392,58.572799382061355,193,1
302.42132435166155,310.3655892219939,1368,49.785140316375156,11,1
297.22516611228195,308.12516611228193,1396,53.52317276489859,210,1
301.0522071945876,310.8507357315292,1309,50.291331002976314,225,1
302.7,310.53559443301646,1350,45.14587670354469,8,1
301.7181771702958,309.67416121167236,1441,45.13635434059163,232,1
302.2269232949407,310.28846306458513,1370,50.44229831754869,14,1
301.63021121710955,310.65520757444483,1360,66.03437727666541,72,1
297.15374096409073,307.8768704820454,1315,61.17437650598488,198,1
302.64043675519724,311.14043675519724,1313,60.103755671192104,41,1
300.3688633269039,309.882821145878,2563,12.8,81,1
303.3099828796813,311.8099828796813,1367,53.3598972780878,28,1
298.43356378467587,309.3553635127701,1328,69.77699040235737,26,1
302.3566354804671,310.27109032031143,1375,51.878441886695505,161,1
300.6331300555788,311.61932349600016,1368,57.006126769685075,189,1
301.33561791260195,310.14022229393726,1334,56.6575283495922,157,1
298.33033236473045,309.81480363668544,1499,47.22235635977493,218,1
296.6210048240208,307.4046172751377,1370,52.763875488831125,217,1
298.4638428738185,309.1638428738185,1268,69.04747941589793,192,1
302.0862867863524,310.48628678635237,1334,57.975654355483755,107,1
298.6585105136585,308.8,1327,55.885357341062075,206,1
302.0,310.40445785104635,1214,55.82289255231812,79,1
301.3751529529815,310.11610420421033,1301,58.82755739064575,17,1
303.28860248506277,311.779484473113,1314,61.77660870723027,41,1
300.6064866851718,310.69286765671944,1399,57.91361902845234,191,1
301.92848927755625,310.3331416476313,1268,62.41160496857475,95,1
299.59512264682985,309.78988540651375,1291,65.44382990510694,15,1
299.00742338577754,309.3333620943995,2572,12.663886492133376,97,1
300.10157103374945,309.8497101579388,1436,60.01017390523672,134,1
300.54189717677474,310.55546241899384,1338,58.79027661212966,203,1
301.03225282469236,309.63267563242147,2431,13.599577192270923,196,1
301.8031624955076,310.7097055575522,1353,57.1905125134772,193,1
302.3507581434446,310.92175349004765,1361,44.304548860667396,66,1
298.3041599094706,308.94241441377545,1430,40.76924999556705,222,1
301.4497804033384,310.59794481790595,1452,60.09104166949921,148,1
302.33907261474684,310.3218547705063,1350,46.10530185667709,165,1
302.0010939622964,311.69991584905415,1336,57.59932679243296,187,1
301.91355272225763,310.7,1377,48.350920055166014,212,1
300.00401288449285,309.85406275979244,1435,41.2747256858521,213,1
299.1771163343538,310.23935918541196,1376,62.377002545587644,92,1
299.3088163560327,309.09307564644934,1332,64.90660252536202,152,1
299.8318418104251,309.86098681753543,1395,50.094146874418094,212,1
302.107702192482,310.38720584661866,1366,45.9026102315826,171,1
302.50824353312066,310.5529274447989,1359,53.16271545730833,67,1
302.79330382336764,310.65718041643754,1392,47.55621193682716,105,1
302.69148006914656,312.67615414408544,1261,58.86301763689021,208,1
298.4028548859468,309.1803154541749,1397,54.354282328920135,215,1
302.35352434472395,311.35211460683433,1447,59.50422921366873,161,1
298.5166918890933,307.8929399974113,1512,31.498789725321956,208,1
299.22981172872716,309.9703778939544,1398,54.97811188163686,217,1
300.927339557128,310.697920393664,1357,62.900304674759944,67,1
302.66333680811,311.06333680810997,1345,48.141543272767656,103,1
303.5802215216717,311.9802215216717,1309,52.70221521671691,84,1
302.9570875280458,311.2712625841374,2689,10.353640589942753,75,1
301.4185185762567,311.41443498478,1270,67.45365634764299,227,1
299.7324890589874,310.45837601275406,1301,67.03603687405382,113,1
303.52670609206,312.0299450159392,1363,52.194520173395304,90,1
300.55415984237453,311.8170216647463,1367,57.971181507120846,191,1
302.6102881762721,310.58552832316553,1345,48.07908249718825,166,1
301.31567899704027,310.8484914137679,1320,54.475754293116054,229,1
300.52005501292956,310.4769442357421,2631,12.177694423574213,100,1
302.6125766617625,310.23772998528733,2676,10.784279172796943,83,1
302.369111983368,310.3871728879649,1365,66.52421709124508,80,1
301.531947624592,310.90746726537003,1269,65.77975368479315,182,1
301.3122260010581,310.3144935749859,1364,48.269312169582406,214,1
300.1621547724194,310.5549539696559,1375,52.44415276551073,229,1
299.8246981556976,309.69870472335464,1381,51.532557715005595,205,1
300.6161783288749,310.83751579543673,1440,49.3574514303704,79,1
299.97970152756534,309.6417451414332,1421,55.86975879071366,113,1
300.14070895186313,309.6498214976076,1257,69.83171540771349,119,1
302.1483298048557,311.2289978829134,1633,33.51924311946858,225,1
297.99196861375174,308.5767874455007,1457,51.15798291222871,207,1
303.1093193841685,312.52320296791834,1502,36.062913448331805,205,1
303.4015825791497,311.83623472844107,1371,54.500791289574835,113,1
301.5386608894936,310.8966434960348,1257,70.54958261892914,120,1
298.603208799769,309.8794120996824,1716,27.223796700086627,178,1
302.8675311775834,311.68939318692367,1524,36.52121362615273,211,1
302.3814570442234,310.3,1328,57.145223362552855,56,1
298.4444415140898,308.90605661012245,1402,55.876769807934686,217,1
300.6513409637565,311.057423343287,2479,13.390876430704354,169,1
299.21107533267696,309.197675240904,1453,41.72525034414858,208,1
297.2612976184861,307.98568238057055,2842,5.255480952605555,188,1
301.6435961020819,310.1373680874988,1326,48.293420218746974,76,1
302.0349950672316,311.815588525457,1369,56.807952492821705,208,1
302.7454760258228,311.8756930884438,1420,49.188480561652966,220,1
298.5421835861171,308.33705066397266,1253,70.87232903268678,112,1
302.5439591887823,311.0045539380495,1364,45.46375513269377,66,1
300.69769120431465,310.7079929752262,1389,59.97211239638096,62,1
302.02564864815736,310.3748702703685,1371,51.90103783705177,155,1
302.8279084106425,310.87242750243826,1341,49.68473297116981,170,1
303.2402808646599,311.66157674937193,1340,47.926370984972344,209,1
300.9559118049402,311.39346383494944,1460,53.319331001769406,207,1
302.06741439311895,311.4335669978497,1229,66.93510918365746,183,1
302.5481427997978,311.46888567987867,1443,59.73777135975737,167,1
301.6586868494593,310.79928533574986,1527,36.447431787898374,207,1
300.1901336113115,310.08986103272633,1286,62.44219134060585,187,1
299.68702194589264,309.23164434396097,1877,23.115200904351376,223,1
299.0045029050154,309.66977668865735,1398,55.469452432716096,217,1
303.8427947541722,313.10898643662597,1270,68.73238336490762,160,1
302.05732157951434,311.425967878271,1364,62.93563337762018,206,1
302.3450207293813,310.9362551823453,1368,60.786186084407696,92,1
297.4393286015693,308.14393286015695,1363,52.67573144062772,215,1
300.07277486836495,309.67897492379024,1406,62.92237531176723,189,1
301.67397796659367,310.7369889832968,1379,52.04042839142927,215,1
298.4290432260606,308.8720576347475,1404,55.24657060875419,218,1
302.2216905138098,310.2518335966687,1369,50.66730790617811,14,1
302.7501047519295,311.25008863624805,1333,46.050153098973894,209,1
299.01902490105607,308.5706551694215,2555,12.832246487756354,105,1
298.3619427216082,308.8488075317031,1433,48.305668734070146,209,1
300.0199502060792,308.9619353776572,2342,14.10426800913845,188,1
302.84495202858426,311.64899040571686,1225,67.85706715998208,177,1
297.69459399888314,308.1694593998883,1364,52.77783759955325,216,1
302.35693179515187,310.27128786343457,1375,51.88268906384338,161,1
297.50623700765686,308.3678736437808,1475,40.42032224425734,221,1
298.5065704799171,308.9907779271597,1401,55.83158510551483,217,1
301.24807607338676,309.62167182639587,1301,63.640159225091715,229,1
301.45827674062326,309.5258989206475,1297,65.18921295222997,227,1
298.9002379301225,310.28782715391844,1726,27.112410776204054,201,1
302.56638226068276,311.15127982692763,1285,68.33617739317259,118,1
300.6041378790185,310.18928235068813,1440,59.806430589587116,139,1
297.9436245468505,308.76236489660823,1373,56.51259650242269,202,1
299.3446163972117,309.5815607386584,1380,53.73384919163524,216,1
299.31756694856017,308.98647286832386,1382,53.65270084568052,217,1
300.71812959159024,310.64087137170407,1339,59.150031916250406,203,1
298.95830924329897,309.1592608210465,1541,36.38254035187706,206,1
300.72943850023444,310.9165591563819,1368,56.249080046867675,205,1
301.94472715530924,310.6,1329,66.47546012281003,85,1
303.2,311.4,1350,53.58103563212487,8,1
302.7470139543048,311.0930114171585,1366,55.16505708579246,147,1
301.7443826117935,310.89148628595734,1316,56.73914645397978,10,1
302.004592739288,310.56239170204344,1360,48.97972239485951,68,1
302.1601962135297,310.56019621352965,1334,55.63686058352502,110,1
302.7316671098118,311.03900026588707,1358,51.83965966497413,103,1
301.5899898436169,310.1724974609042,1351,56.419514726755494,187,1
301.9924671651535,309.7527298439253,1385,62.11243888197497,140,1
302.3856935054964,310.75717749083924,1359,47.770514241843046,67,1
300.28073033275336,310.4652555268069,1299,66.03853933449324,106,1
303.4404963921638,311.57024819608193,1364,46.73801443134475,61,1
301.7432062256521,310.2432062256521,1326,51.32189571921594,80,1
303.2958901515733,311.31324179297775,1307,53.687670454719985,43,1
302.3135596788207,310.4530642694992,1334,57.68161438300479,178,1
300.0243024257516,310.583277273323,1237,72.47023545204344,191,1
303.2990993006768,311.3287759769483,1307,54.201801398646396,43,1
